filename,tempo1,zero_crossing_rate_mean,zero_crossing_rate_var,rms_mean,rms_var,y_harm_mean,y_harm_var,y_perc_mean,y_perc_var,spectral_centroid_mean,spectral_centroid_var,rolloff_mean,rolloff_var,chroma_stft_mean,chroma_stft_var,spectral_bandwidth_mean,spectral_bandwidth_var,label,mfcc_mean_1,mfcc_mean_2,mfcc_var_1,mfcc_var_2
460-Hollywood-검정치마.mp3,151.99908088235293,0.06592891195274579,0.06158229052147289,0.22443803,0.007609197,2.7391495e-06,0.03256424,-0.0001323981,0.0106267035,1579.2175458037636,385553.21190899704,3288.525647668888,2386248.7240604423,0.34548464,0.08519668,1907.390697959583,294059.93820252817,460-Hollywood-검정치마.mp3,0.48879516,0.51754594,0.027291887,0.030955678
461-PUZZLE (Feat. CHEEZE)-TOIL.mp3,117.45383522727273,0.08623681020384287,0.0788000227697092,0.24682954,0.012305169,1.3337313e-05,0.037279725,-0.00019819601,0.021349259,2163.6664642457717,721444.2388859168,4690.961272525091,3304363.0630081827,0.2978018,0.0940652,2450.5697663602,189128.84628017765,461-PUZZLE (Feat. CHEEZE)-TOIL.mp3,0.49929968,0.52190423,0.02985396,0.029763678
462-Antifreeze-검정치마.mp3,129.19921875,0.09734510827337195,0.08786903816861728,0.2555245,0.0042663435,1.3550818e-06,0.04373014,0.00019508769,0.009276235,2140.2285886591717,658907.5653587397,4566.62722767952,2561961.4087221925,0.40148035,0.087957904,2176.847962487663,212547.89824101736,462-Antifreeze-검정치마.mp3,0.49546307,0.5051972,0.030779557,0.030777337
463-시작-박기영.mp3,151.99908088235293,0.1058295455527184,0.09462965284082342,0.20262478,0.004287406,1.0158176e-07,0.026034322,-3.8646114e-05,0.0077248756,2532.810844527632,654177.7033460862,5714.573126887334,2158176.955619428,0.34936255,0.08601673,2724.075276314461,166166.2409491546,463-시작-박기영.mp3,0.4816618,0.4907806,0.025941297,0.026404232
464-너를 보내고-YB (윤도현 밴드).mp3,123.046875,0.0917010971866811,0.08329200596143993,0.0767463,0.00180585,-4.8669295e-07,0.0048266933,-2.964677e-05,0.0010045671,1987.2321947403466,743770.023828727,4222.152950759863,3400765.1416662405,0.34870258,0.086819574,2193.6063558285414,347764.0663896513,464-너를 보내고-YB (윤도현 밴드).mp3,0.50257474,0.49650297,0.030732313,0.029341279
465-정말로 사랑한다면-버스커 버스커(Busker Busker).mp3,117.45383522727273,0.08181459672142902,0.07512096848473897,0.1503377,0.0042785346,-1.0664401e-06,0.016983379,-2.2099111e-05,0.004369941,1959.8911175049498,671605.7511855392,4376.355753491103,3657859.118764352,0.32999936,0.09463674,2349.814584189226,251381.78830997745,465-정말로 사랑한다면-버스커 버스커(Busker Busker).mp3,0.5312577,0.52438897,0.029180093,0.028773589
466-하늘 끝에서 흘린 눈물-주니퍼(Junyfore).mp3,143.5546875,0.11233920715213232,0.09971910968856267,0.16602458,0.008098336,-4.823956e-06,0.021482969,-6.36293e-05,0.005673405,2065.9092375643268,669897.1037863805,4033.6380703810246,2706316.385171006,0.26872504,0.089938395,2041.1181268869407,251089.44950523626,466-하늘 끝에서 흘린 눈물-주니퍼(Junyfore).mp3,0.49176973,0.5086417,0.029915009,0.030293671
467-Cue Sign-참솜(Chamsom).mp3,86.1328125,0.04424186582906443,0.04228452313702754,0.21586746,0.004706829,-3.438959e-07,0.034566317,8.846839e-06,0.00592894,1357.181238294464,578292.7093464853,2885.9477582078252,3449328.1262451974,0.40283006,0.08834268,1957.5379120652249,389973.9162538826,467-Cue Sign-참솜(Chamsom).mp3,0.5039887,0.5082751,0.032273833,0.03434691
468-영원-최진영 [SKY].mp3,83.35433467741936,0.10801743617749601,0.0963496696591367,0.10292596,0.0017368512,5.8429183e-08,0.0073864083,-6.3065777e-06,0.0016334382,2396.445606692218,495507.7275917791,5278.340732096217,2338007.591356197,0.39064094,0.084054075,2496.868513394862,225872.74990612798,468-영원-최진영 [SKY].mp3,0.498729,0.488982,0.028421381,0.028188914
469-Return (Feat. sokodomo)-TOIL.mp3,151.99908088235293,0.08861072159605506,0.0807588616142815,0.2952767,0.012992222,7.442454e-05,0.056822985,-0.000116604446,0.019998185,2103.1945523147556,677375.357300495,4508.446244550012,3537136.524868106,0.30273843,0.09169471,2339.5371428472963,286950.4019300968,469-Return (Feat. sokodomo)-TOIL.mp3,0.5167071,0.50946534,0.029922972,0.029797412
